experiment,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean,status_counts
baseline_v3_n16_0422_Qwen3-1.7B-Base,106,0,1024,64,0.98828125,1.0,0.0,9.122688230127356,7.856448733200116,9.122688230127356,9.632319565217392,0.0,7.8043478260869605,0.0,0.0,0.0,0.3231741186502286,0.22191451837428333,0.4128263516984352,0.890625,0.96063310140894,0.07905138339920949,0.10252174694665162,0.5920668457985546,"{""parse_fail"": 3, ""render_engine_error"": 9, ""success"": 1012}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,42,0,1024,64,0.9765625,1.0,0.0,9.278833333333354,8.028928494323035,9.278833333333354,9.752,8.332500000000001,8.512,8.3523,8.388200000000001,8.257,0.24852031665050964,0.2504932277831637,0.6329138814264295,0.90625,0.9214274940989067,0.145,0.1671631359842437,1.339138637614704,"{""parse_fail"": 17, ""render_engine_error"": 7, ""success"": 1000}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,43,0,1024,64,0.9716796875,1.0,0.0,9.311803461753241,8.118125207448974,9.311803461753241,9.757788944723618,8.419832495812395,8.546733668341709,8.460100502512562,8.451155778894474,8.348241206030151,0.2478291279236612,0.2507236240254463,0.6481429921572539,0.921875,0.9183762953046075,0.1527638190954774,0.13880928782146656,1.1688941043065053,"{""parse_fail"": 28, ""render_engine_error"": 1, ""success"": 995}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,44,0,1024,64,0.96484375,1.0,0.0,9.295040485829976,8.024001019610754,9.295040485829976,9.744601889338732,8.395917678812415,8.46761133603239,8.386842105263158,8.423380566801619,8.37753036437247,0.2727800057857306,0.2424066647380896,0.6796715211869897,0.9375,0.9354985498969028,0.13663967611336034,0.11626474608647056,1.0485743549799285,"{""parse_fail"": 27, ""render_engine_error"": 9, ""success"": 988}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,45,0,1024,64,0.9697265625,1.0,0.0,9.34546268322706,8.191766614601917,9.34546268322706,9.765021819402484,8.506344410876133,8.590130916414905,8.487411883182276,8.503927492447131,8.527693856998994,0.29539886313119185,0.2348670456229364,0.6731505937135467,0.953125,0.9385979102376875,0.1470292044310171,0.07496599119505604,0.8322630403149757,"{""parse_fail"": 17, ""render_engine_error"": 14, ""success"": 993}"
baseline_v3_n16_3e-6_4k_Qwen3-4B,46,0,1024,64,0.947265625,1.0,0.0,9.238247422680436,7.874399849268901,9.238247422680436,9.680068728522336,8.354604810996564,8.08041237113402,8.405051546391752,8.405154639175258,8.253608247422681,0.4348410239731599,0.1883863253422797,0.6868403863688783,0.9375,0.9383965314114648,0.13298969072164948,0.1289101004167565,1.2465422649979128,"{""parse_fail"": 34, ""render_engine_error"": 20, ""success"": 970}"
baseline_v3_n16_3e-6_Qwen3-4B,40,0,1024,64,0.9853515625,1.0,0.0,9.298028851448088,8.04749337410805,9.298028851448088,9.750578130161877,8.39293029402048,8.503468780971259,8.285728444003963,8.485728444003964,8.407333994053518,0.28863884304937604,0.2371203856502079,0.6593456156262596,0.90625,0.9284701867468896,0.15758176412289396,0.14041886431434883,1.068947490491712,"{""parse_fail"": 13, ""render_engine_error"": 2, ""success"": 1009}"
baseline_v3_n16_3e-6_Qwen3-4B,41,0,1024,64,0.9833984375,1.0,0.0,9.335815954981824,8.164231034942382,9.335815954981824,9.754054948692486,8.49933796756041,8.524329692154916,8.473187686196624,8.559086395233367,8.46573982125124,0.34090945316353577,0.21969684894548794,0.6875640349685076,0.953125,0.9402831587264067,0.19662363455809334,0.08741848776599924,0.8127569795100148,"{""parse_fail"": 16, ""render_engine_error"": 1, ""success"": 1007}"
baseline_v3_n16_3e-6_Qwen3-4B,42,0,1024,64,0.978515625,1.0,0.0,9.374927921933944,8.28010203447307,9.374927921933944,9.780771789753826,8.56324018629408,8.684630738522953,8.526646706586828,8.596706586826349,8.566367265469061,0.27474818830252734,0.24175060389915715,0.6534751290692932,0.984375,0.9275437592780639,0.1437125748502994,0.08693580792583352,0.7798428667144154,"{""parse_fail"": 19, ""render_engine_error"": 3, ""success"": 1002}"
baseline_v3_n16_3e-6_Qwen3-4B,43,0,1024,64,0.9697265625,1.0,0.0,9.405203088284685,8.37293440546819,9.405203088284685,9.80597515944948,8.603658945955019,8.835850956696879,8.551863041289023,8.609063444108761,8.650050352467272,0.21611676960770257,0.261294410130766,0.6348376007813373,0.90625,0.9225900171305519,0.1581067472306143,0.0973995690000502,0.7544356914169114,"{""parse_fail"": 24, ""render_engine_error"": 7, ""success"": 993}"
baseline_v3_n16_3e-6_Qwen3-4B,44,0,1024,64,0.9794921875,1.0,0.0,9.35695136811789,8.209569278914783,9.35695136811789,9.759388501163178,8.552077102027253,8.556331006979063,8.498105682951147,8.585643070787638,8.572482552342972,0.36311341273109904,0.21229552908963353,0.6740681868154675,0.9375,0.9365127996437205,0.15154536390827517,0.09391932965759882,0.9055070411661208,"{""parse_fail"": 21, ""success"": 1003}"
baseline_v3_n16_Qwen3-1.7B,80,0,1024,64,0.9912109375,1.0,0.0,9.176041083743842,7.538926214814377,9.176041083743842,9.621467208538588,8.28518883415435,7.771428571428571,8.107980295566502,8.424926108374384,8.322660098522167,0.5057221921687336,0.1647592685106092,0.7802997041382008,0.765625,0.8944711972513149,0.2,0.11637898187134862,1.061498418431911,"{""llm_generation_error"": 1, ""parse_fail"": 9, ""success"": 1014}"
baseline_v3_n16_Qwen3-1.7B,81,0,1024,64,0.9833984375,1.0,0.0,9.183401688182716,7.669265057728583,9.183401688182716,9.625003227408143,8.300198609731877,7.791459781529295,8.17795431976167,8.4291956305859,8.293445878848063,0.5171676583528596,0.16094405265061162,0.7030297450393481,0.859375,0.9207149050076497,0.17874875868917578,0.10748801746785629,0.8372835088751265,"{""llm_generation_error"": 1, ""parse_fail"": 17, ""success"": 1006}"
baseline_v3_n16_Qwen3-1.7B,82,0,1024,64,0.98828125,1.0,0.0,9.23058814229252,7.761283047270886,9.23058814229252,9.674110144927537,8.343544137022398,8.08300395256917,8.238043478260868,8.481818181818182,8.310770750988143,0.4279155234082524,0.19069482541383617,0.7412283254582719,0.921875,0.9168096740380167,0.18280632411067194,0.12762902916418917,0.9989570230331394,"{""llm_generation_error"": 1, ""parse_fail"": 12, ""success"": 1011}"
baseline_v3_n16_Qwen3-1.7B,83,0,1024,64,0.982421875,1.0,0.0,9.208722332670645,7.7271773861657165,9.208722332670645,9.671880715705766,8.282405566600398,8.047713717693837,8.0889662027833,8.447813121272366,8.310437375745526,0.4279567007468392,0.19068109918948106,0.7268678256193858,0.859375,0.9233262739134437,0.15606361829025844,0.11868328360547166,1.093107284211787,"{""parse_fail"": 18, ""success"": 1006}"
baseline_v3_n16_Qwen3-1.7B,84,0,1024,64,0.986328125,1.0,0.0,9.15190143014301,7.488445586890598,9.15190143014301,9.626961056105612,8.20178217821782,7.823762376237624,8.003069306930694,8.418613861386138,8.183663366336633,0.5189874733378443,0.1603375084682068,0.7607276079960797,0.859375,0.91050818508089,0.1495049504950495,0.19074940423897999,1.0996830769698984,"{""llm_generation_error"": 2, ""parse_fail"": 13, ""render_engine_error"": 1, ""success"": 1008}"
baseline_v3_n16_Qwen3-4B,20,0,1024,64,0.9921875,1.0,0.0,8.910629921259853,6.8089215221559956,8.910629921259853,9.506233595800525,7.719422572178478,7.09251968503937,8.061515748031496,7.7826771653543325,7.314074803149606,0.4981700059874627,0.1672766643747697,0.7904462363956153,0.609375,0.8834184795889134,0.1702755905511811,0.1400982473449289,1.2116568255271785,"{""llm_generation_error"": 2, ""parse_fail"": 8, ""success"": 1014}"
baseline_v3_n16_Qwen3-4B,21,0,1024,64,0.9912109375,1.0,0.0,8.833333333333346,6.6753638935405375,8.833333333333346,9.479474548440065,7.541050903119868,6.991133004926108,7.8310344827586205,7.664532019704434,7.127586206896551,0.5083333831381184,0.16388883944298707,0.7752866518567929,0.765625,0.8622499601729273,0.1960591133004926,0.19300842519243103,1.1616422121629053,"{""llm_generation_error"": 4, ""parse_fail"": 9, ""success"": 1011}"
baseline_v3_n16_Qwen3-4B,22,0,1024,64,0.99609375,1.0,0.0,8.796612200435728,6.656063939219591,8.796612200435728,9.492156862745098,7.405522875816994,7.080392156862745,7.588529411764706,7.571176470588235,7.056862745098039,0.42791469027817247,0.19069510200698112,0.7425687237868334,0.84375,0.895885200345605,0.16372549019607843,0.27815381217715834,1.34989148075041,"{""llm_generation_error"": 6, ""parse_fail"": 4, ""success"": 1014}"
baseline_v3_n16_Qwen3-4B,23,0,1024,64,0.984375,1.0,0.0,8.800253527336883,6.694623172503243,8.800253527336883,9.43287037037037,7.535019841269841,6.902777777777778,7.783234126984127,7.583035714285715,7.238789682539682,0.5360879316417921,0.15463733020015308,0.7485794660907581,0.84375,0.9096531398713955,0.18253968253968253,0.5042858678366632,1.6949528102657154,"{""llm_generation_error"": 15, ""parse_fail"": 13, ""render_engine_error"": 3, ""success"": 993}"
baseline_v3_n16_Qwen3-4B,24,0,1024,64,0.9921875,1.0,0.0,8.874146981627286,6.849025560542882,8.874146981627286,9.505905511811024,7.610629921259843,7.108267716535433,7.8219488188976385,7.716437007874015,7.293503937007874,0.4906307178643866,0.1697897596845548,0.747175400765053,0.796875,0.9117291908984516,0.13976377952755906,0.19844158950617294,1.2017916086380693,"{""llm_generation_error"": 3, ""parse_fail"": 8, ""success"": 1013}"
focal_0414_Qwen3-1.7B,53,0,512,64,0.74609375,1.0,0.0,7.960067253688723,5.3731709441662,5.3731709441662,9.153011605584641,0.0,6.884816753926701,0.0,0.0,0.0,0.14074644514756496,0.0,0.14367820881971757,0.65625,0.834522191944042,0.1387434554973822,0.6939224166185856,1.4534718351025404,"{""llm_generation_error"": 4, ""parse_fail"": 21, ""render_engine_error"": 109, ""success"": 378}"
