step,temperature,gamma,epsilon,group_count,row_count,normalized_kendall_distance_mean,normalized_kendall_distance_p90,spearman_rank_corr_mean,spearman_rank_corr_p90,z_advantage_corr_mean,z_advantage_corr_p90,z_advantage_sign_flip_rate_mean,z_advantage_sign_flip_rate_p90,mean_abs_z_advantage_delta_mean,mean_abs_z_advantage_delta_p90,top1_same_rate_mean,top1_same_rate_p90
1,0.1,3.5,0.01,64,1024,0.148828125,0.25,0.8249592513017407,0.9568967927269332,0.8741336756381645,0.9537822803044386,0.193359375,0.3125,0.38796583364261333,0.5512561235859558,0.375,1.0
1,0.1,3.5,0.02,64,1024,0.14856770833333333,0.25,0.8253780007917547,0.9570226724984381,0.8757819365552238,0.954201596110797,0.1923828125,0.3125,0.3854071240143841,0.5478959108604974,0.375,1.0
1,0.1,3.5,0.05,64,1024,0.14583333333333334,0.24458333333333335,0.8307926237275337,0.9570226724984381,0.8805280415100721,0.9553884099293269,0.1923828125,0.3125,0.37802045292448416,0.5376269840547091,0.390625,1.0
1,0.1,3.5,0.1,64,1024,0.14049479166666667,0.23625000000000002,0.8397775416870856,0.9575564445670668,0.8880816907574849,0.9568396097972728,0.189453125,0.3125,0.36570028914641123,0.5237186355729092,0.4375,1.0
1,0.1,3.5,0.2,64,1024,0.13385416666666666,0.2241666666666667,0.8513701931163168,0.9631413520983416,0.902677807279364,0.9607254903325749,0.18359375,0.3125,0.3397763372493415,0.5017636650944673,0.46875,1.0
1,0.1,4.0,0.0,64,1024,0.15572916666666667,0.25416666666666665,0.8136787436615733,0.9523397970461236,0.8624938692962402,0.9522323275902193,0.2021484375,0.3125,0.4047153128081465,0.5754216204681096,0.375,1.0
1,0.1,4.0,0.01,64,1024,0.15377604166666667,0.2529166666666667,0.8165454583552834,0.9525182525944691,0.8642387215316306,0.9524796495946876,0.2001953125,0.3125,0.40220568119436967,0.5723109969095411,0.375,1.0
1,0.1,4.0,0.02,64,1024,0.15247395833333333,0.2529166666666667,0.8187977638486504,0.9525182525944691,0.8659398970669053,0.952712414101914,0.1982421875,0.3125,0.3997257497759746,0.5691290416548271,0.375,1.0
1,0.1,4.0,0.05,64,1024,0.14908854166666666,0.25,0.8234752063601253,0.9543072597524537,0.870817255893612,0.9535586661887682,0.197265625,0.3125,0.392427284557213,0.5591794394568854,0.375,1.0
1,0.1,4.0,0.1,64,1024,0.146875,0.24166666666666667,0.8289931276019615,0.9570226724984381,0.8784112903463932,0.9555616063566971,0.193359375,0.3125,0.38074377240453355,0.542513313007621,0.390625,1.0
1,0.1,4.0,0.2,64,1024,0.1390625,0.23625000000000002,0.8419966852776742,0.9575564445670668,0.8925783931433744,0.9585126448957506,0.1875,0.3125,0.3572497595269362,0.5183476707517372,0.4375,1.0
1,0.1,4.5,0.0,64,1024,0.15963541666666667,0.25416666666666665,0.8070580037052068,0.9455002078387216,0.8533585262358685,0.9509467972492476,0.2060546875,0.3125,0.4175745498921707,0.5936264233929884,0.359375,1.0
1,0.1,4.5,0.01,64,1024,0.15794270833333332,0.25416666666666665,0.8093680817897922,0.9455002078387216,0.8551236092678556,0.9513714598924751,0.2041015625,0.3125,0.4149961465385967,0.5904358188068252,0.359375,1.0
1,0.1,4.5,0.02,64,1024,0.157421875,0.25416666666666665,0.8099984081879514,0.9455002078387216,0.8568487791912485,0.9516410071126826,0.203125,0.3125,0.412481464866152,0.587278370545293,0.375,1.0
1,0.1,4.5,0.05,64,1024,0.15546875,0.2529166666666667,0.8133851079552996,0.9525182525944691,0.8618039038029098,0.9523748621558991,0.203125,0.3125,0.4052570925034371,0.5774495098199435,0.375,1.0
1,0.1,4.5,0.1,64,1024,0.149609375,0.24875,0.8230887441718788,0.9543072597524537,0.8694698181632908,0.9538163564755352,0.1962890625,0.3125,0.3939232411965046,0.5624067685398304,0.375,1.0
1,0.1,4.5,0.2,64,1024,0.14361979166666666,0.23625000000000002,0.8345523569735994,0.9570226724984381,0.8834440529090981,0.9572788655163694,0.1923828125,0.3125,0.3720349087701488,0.5344631185212524,0.421875,1.0
1,0.1,5.0,0.0,64,1024,0.16243489583333334,0.25416666666666665,0.8002575126668445,0.9427917164702782,0.8450316293827916,0.945669880257576,0.2080078125,0.3125,0.42942593460531003,0.6092198613551714,0.328125,1.0
1,0.1,5.0,0.01,64,1024,0.1609375,0.25416666666666665,0.8028466859547555,0.9427917164702782,0.8467926541286686,0.9469727618186574,0.2060546875,0.3125,0.4268500114119382,0.6063773096321938,0.34375,1.0
1,0.1,5.0,0.02,64,1024,0.15989583333333332,0.25416666666666665,0.8045936958405996,0.9427917164702782,0.8485180155618579,0.9486210001517124,0.20703125,0.3125,0.4243183804809336,0.6034705818106324,0.34375,1.0
1,0.1,5.0,0.05,64,1024,0.15833333333333333,0.25416666666666665,0.808356467912275,0.9455002078387216,0.8534912647708023,0.9513523449782146,0.205078125,0.3125,0.41704111916531494,0.5943948780647932,0.359375,1.0
1,0.1,5.0,0.1,64,1024,0.15520833333333334,0.2529166666666667,0.8133292872903658,0.9525182525944691,0.8611939892442496,0.9525338772108155,0.2001953125,0.3125,0.4057348523553996,0.5795217669933023,0.375,1.0
1,0.1,5.0,0.2,64,1024,0.14830729166666667,0.24458333333333335,0.8255269341843372,0.9556848112379281,0.8750774067894445,0.9559839444990487,0.1953125,0.3125,0.38483971930528127,0.5507052618165889,0.40625,1.0
1,0.1,5.5,0.0,64,1024,0.1650390625,0.2570833333333334,0.7939204730490613,0.9427917164702782,0.8374792147624582,0.9412351651817603,0.2109375,0.3125,0.4400282222266903,0.6209022829913577,0.3125,1.0
1,0.1,5.5,0.01,64,1024,0.1646484375,0.25416666666666665,0.7940674673428825,0.9427917164702782,0.8392182428371403,0.9430550916102841,0.208984375,0.3125,0.43757629615194577,0.6185842673463515,0.328125,1.0
1,0.1,5.5,0.02,64,1024,0.16328125,0.25416666666666665,0.7962918908535874,0.9427917164702782,0.8409257374112687,0.9444910845493728,0.208984375,0.3125,0.43514861596386156,0.6162020589254928,0.328125,1.0
1,0.1,5.5,0.05,64,1024,0.16106770833333334,0.25416666666666665,0.8022797209790313,0.9427917164702782,0.845866104517131,0.948093142770536,0.20703125,0.3125,0.42796816048614494,0.6086905889861218,0.34375,1.0
1,0.1,5.5,0.1,64,1024,0.15859375,0.25416666666666665,0.8078047115153808,0.9455002078387216,0.8535507674962585,0.9515844281697325,0.205078125,0.3125,0.4166780158598076,0.595076588652769,0.375,1.0
1,0.1,5.5,0.2,64,1024,0.1515625,0.24875,0.8196703782626708,0.9543072597524537,0.8673604151497154,0.9543582099632565,0.1962890625,0.3125,0.39615016829612165,0.5672691074107232,0.375,1.0
1,0.1,6.0,0.0,64,1024,0.1673828125,0.2570833333333334,0.7888982872538682,0.9423134523820857,0.8306492080812512,0.9358504879216177,0.21875,0.375,0.44928445221509894,0.6305346194836623,0.296875,1.0
